repo,category,primary_paper_or_context,url,stars_known,license_known,what_it_contains,value_rating,risk_or_overlap,maintenance_priority
"GEO-optim/GEO","research code + benchmark","GEO: Generative Engine Optimization","https://github.com/GEO-optim/GEO","not checked","not checked","Original GEO code, GEO-Bench loader, leaderboard links, custom GEO functions.",5,"Foundational; benchmark setting is simplified and should not be treated as full search pipeline.",track
"cxcscmu/AutoGEO","research code + models","What Generative Search Engines Like and How to Optimize Web Content Cooperatively","https://github.com/cxcscmu/AutoGEO","not checked","not checked","Preference-rule extraction, AutoGEO_API, AutoGEO_Mini RL pipeline, datasets/checkpoints/demo links.",5,"Strong overlap with content rewriting; must pair with retrieval-stage evaluation.",track
"parameterlab/c-seo-bench","benchmark code + data","C-SEO Bench","https://github.com/parameterlab/c-seo-bench","not checked","not checked","C-SEO methods, benchmark runner, citation ranking evaluation, released datasets/results.",5,"Essential negative-result benchmark; should be used to test new GEO claims.",track
"qychen2001/CC-GSEO-Bench","benchmark code","CC-GSEO-Bench","https://github.com/qychen2001/CC-GSEO-Bench","not checked","not checked","Optimization, answer generation, LLM judging, MIL/ICov/IStab metric computation.",4,"LLM judge dependency and offline simulator assumptions need validation.",track
"AIcling/agentic_geo","research code","AgenticGEO","https://github.com/AIcling/agentic_geo","not checked","MIT in README","MAP-Elites strategy archive, co-evolving critic, multi-turn rewriting evaluation.",4,"Potential proxy overfitting; useful for adaptive strategy design.",track
"Generative-Engine-Marketing/GEM-Bench","benchmark code","GEM-Bench","https://github.com/Generative-Engine-Marketing/GEM-Bench","not checked","Apache-2.0 in README","Ad-injected response generation benchmark, datasets and multi-agent baselines.",3,"Adjacent monetization layer; separate paid/ads from organic GEO.",watch
"amplifying-ai/awesome-generative-engine-optimization","awesome list","community resource","https://github.com/amplifying-ai/awesome-generative-engine-optimization","not checked","CC0 in README","Large curated list of guides, tools, papers, industry sources, technical docs.",3,"Broad list mixes academic, vendor, marketing, and speculative sources; good for discovery, not evidence.",watch
"izak-fisher/generative-engine-optimization-tools","tool list","community resource","https://github.com/izak-fisher/generative-engine-optimization-tools","not checked","not checked","Tool/vendor directory for GEO/AEO/AI visibility platforms.",2,"Vendor-reported; useful for market map but weak as research evidence.",watch
"DavidHuji/Awesome-GEO","awesome list","community resource","https://github.com/DavidHuji/Awesome-GEO","not checked","not checked","Research-focused GEO paper collection.",3,"Use for discovery and cross-checking only.",watch
"ai-search-guru/getcito-worlds-first-open-source-aio-aeo-or-geo-tool","open-source tool","AI visibility tracking","https://github.com/ai-search-guru/getcito-worlds-first-open-source-aio-aeo-or-geo-tool","not checked","not checked","Open-source AIO/AEO/GEO monitoring tool candidate.",2,"Needs code quality and reproducibility audit before adoption.",backlog
"Wu-beining/MAGEO","research code","From Experience to Skill: Multi-Agent Generative Engine Optimization via Reusable Strategy Learning","https://github.com/Wu-beining/MAGEO","37 on 2026-05-13","not checked","Multi-agent GEO framework with preference agent, planner, editor, evaluator, hierarchical memory, DSV-CF metrics, fidelity gate, and benchmark-oriented scripts.",5,"Overlaps with AutoGEO and AgenticGEO but adds reusable strategy learning and fidelity-aware memory; needs independent reproduction.",track
